Cabinet Name,Cabinet Category,Cabinet Sub-Type,SKU,Price,Doors,Drawers,Shelves,Width,Height,Depth
Belmont White 2-Drawer Base - 24w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,BW-DB24-2-RTA,864,0,2,0,24.0in,34.5in,24.0in
Belmont White 2-Drawer Base - 30w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,BW-DB30-2-RTA,924,0,2,0,30.0in,34.5in,24.0in
Belmont White 3-Drawer Base - 12w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,BW-DB12-RTA,655,0,3,0,12.0in,34.5in,24.0in
Belmont White 3-Drawer Base - 15w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,BW-DB15-RTA,707,0,3,0,15.0in,34.5in,24.0in
Belmont White 3-Drawer Base - 18w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,BW-DB18-RTA,776,0,3,0,18.0in,34.5in,24.0in
Belmont White 3-Drawer Base - 21w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,BW-DB21-RTA,890,0,3,0,21.0in,34.5in,24.0in
Belmont White 3-Drawer Base - 24w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,BW-DB24-RTA,920,0,3,0,24.0in,34.5in,24.0in
Belmont White 3-Drawer Base - 27w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,BW-DB27-RTA,948,0,3,0,27.0in,34.5in,24.0in
Belmont White 3-Drawer Base - 30w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,BW-DB30-RTA,980,0,3,0,30.0in,34.5in,24.0in
Belmont White 3-Drawer Base - 33w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,BW-DB33-RTA,1035,0,3,0,33.0in,34.5in,24.0in
Belmont White 3-Drawer Base - 36w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,BW-DB36-RTA,1097,0,3,0,36.0in,34.5in,24.0in
Belmont White 3-Drawer Vanity - 12w 34½h 21d,Vanity,Vanity Bases,BW-VDB1221-RTA,608,0,3,0,12.0in,34.5in,21.0in
Belmont White 3-Drawer Vanity - 15w 34½h 21d,Vanity,Vanity Bases,BW-VDB1521-RTA,663,0,3,0,15.0in,34.5in,21.0in
Belmont White 3-Drawer Vanity - 18w 34½h 21d,Vanity,Vanity Bases,BW-VDB1821-RTA,713,0,3,0,18.0in,34.5in,21.0in
Belmont White 4-Drawer Base - 15w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,BW-DB15-4-RTA,1275,0,4,0,15.0in,34.5in,24.0in
Belmont White 4-Drawer Base - 18w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,BW-DB18-4-RTA,1360,0,4,0,18.0in,34.5in,24.0in
Belmont White 4-Drawer Base - 21w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,BW-DB21-4-RTA,1550,0,4,0,21.0in,34.5in,24.0in
Belmont White Base Cabinet - 12w 34½h 24d,Base Cabinet,Base Kitchen Cabinets,BW-B12-RTA,397,1,1,0,12.0in,34.5in,24.0in
Belmont White Base Cabinet - 15w 34½h 24d,Base Cabinet,Base Kitchen Cabinets,BW-B15-RTA,431,1,1,0,15.0in,34.5in,24.0in
Belmont White Base Cabinet - 18w 34½h 24d,Base Cabinet,Base Kitchen Cabinets,BW-B18-RTA,461,1,1,0,18.0in,34.5in,24.0in
Belmont White Base Cabinet - 21w 34½h 24d,Base Cabinet,Base Kitchen Cabinets,BW-B21-RTA,494,1,1,0,21.0in,34.5in,24.0in
Belmont White Base Cabinet - 9w 34½h 24d,Base Cabinet,Base Kitchen Cabinets,BW-BF0924-RTA,314,1,0,1,9.0in,34.5in,24.0in
Belmont White Bench Seat Base - 24w 16⅞h 24d,Base Cabinet,Storage Benches,BW-DBS24-RTA,638,0,1,0,24.0in,16.875in,24.0in
Belmont White Bench Seat Base - 30w 16⅞h 24d,Base Cabinet,Storage Benches,BW-DBS30-RTA,733,0,1,0,30.0in,16.875in,24.0in
Belmont White Bench Seat Base - 36w 16⅞h 24d,Base Cabinet,Storage Benches,BW-DBS36-RTA,828,0,1,0,36.0in,16.875in,24.0in
Belmont White Blind Corner Base - 33w 34½h 24d,Base Cabinet,Corner Kitchen Cabinets,BW-BBC39/42-RTA,633,1,1,1,33.0in,34.5in,24.0in
Belmont White Blind Corner Wall - 24w 30h 12d,Wall Cabinet,Corner Kitchen Cabinets,BW-WBC2430-RTA,413,1,0,2,24.0in,30.0in,12.0in
Belmont White Blind Corner Wall - 24w 36h 12d,Wall Cabinet,Corner Kitchen Cabinets,BW-WBC2436-RTA,463,1,0,2,24.0in,36.0in,12.0in
Belmont White Blind Corner Wall - 24w 42h 12d,Wall Cabinet,Corner Kitchen Cabinets,BW-WBC2442-RTA,605,1,0,2,24.0in,42.0in,12.0in
Belmont White Bridge Cabinet - 30w 12h 12d,Wall Cabinet,Wall Kitchen Cabinets,BW-W3012-RTA,295,2,0,0,30.0in,12.0in,12.0in
Belmont White Bridge Cabinet - 33w 12h 12d,Wall Cabinet,Wall Kitchen Cabinets,BW-W3312-RTA,337,2,0,0,33.0in,12.0in,12.0in
Belmont White Bridge Cabinet - 36w 12h 12d,Wall Cabinet,Wall Kitchen Cabinets,BW-W3612-RTA,311,2,0,0,36.0in,12.0in,12.0in
Belmont White Deep Bridge Cabinet - 33w 12h 27d,Wall Cabinet,Wall Kitchen Cabinets,BW-W331227-RTA,404,2,0,0,33.0in,12.0in,27.0in
Belmont White Deep Bridge Cabinet - 36w 12h 27d,Wall Cabinet,Wall Kitchen Cabinets,BW-W361227-RTA,423,2,0,0,36.0in,12.0in,27.0in
